cluster,keyword,intent,role,search_volume,ai_search_volume,competition,cpc
AI detections,occupancy monitoring,informational,support,50,no data,LOW,no data
Security agency software,security patrol software,commercial,support,50,no data,MEDIUM,49.1
Security agency software,alarm monitoring software,commercial,support,50,no data,LOW,13.02
Security agency software,security automation software,commercial,support,50,no data,LOW,no data
Cloud VMS,cloud video management system,commercial,support,40,no data,LOW,61.45
AI video analytics,ai security camera software,commercial,support,40,no data,LOW,5.99
AI video analytics,security video analytics,informational,support,40,no data,LOW,no data
AI detections,line crossing detection,informational,support,40,no data,LOW,no data
AI detections,tailgating detection,informational,support,40,no data,LOW,no data
Video monitoring,proactive video monitoring,commercial,support,30,no data,LOW,no data
AI detections,camera tampering detection,informational,support,30,no data,LOW,no data
Security agency software,security guard company software,commercial,support,30,no data,MEDIUM,21.29
Video monitoring,24/7 video monitoring,informational,support,20,no data,LOW,no data
Video monitoring,remote site monitoring,commercial,support,20,no data,LOW,20.33
AI video analytics,ai surveillance software,commercial,support,20,no data,MEDIUM,56.31
AI video analytics,cctv analytics,informational,support,20,no data,MEDIUM,no data
AI detections,weapon detection camera,transactional,support,20,no data,LOW,no data
AI detections,intrusion detection camera,transactional,support,20,no data,LOW,26.79
AI detections,alarm verification,informational,support,20,no data,LOW,no data
Security agency software,guard patrol software,commercial,support,20,no data,LOW,no data
Cloud VMS,nvr alternative,informational,support,10,no data,MEDIUM,8.74
Cloud VMS,cloud camera storage,transactional,support,10,no data,HIGH,4.03
Cloud VMS,enterprise video management,commercial,support,10,no data,LOW,no data
Virtual patrolling,virtual patrol,informational,support,10,no data,LOW,no data
Virtual patrolling,virtual patrols,informational,support,10,no data,LOW,no data
Virtual patrolling,remote patrol,informational,support,10,no data,LOW,no data
Remote guarding,remote guarding companies,commercial,support,10,no data,LOW,54.91
AI detections,ppe detection camera,transactional,support,10,no data,HIGH,no data
AI detections,illegal parking detection,informational,support,10,no data,LOW,no data
AI detections,slip and fall detection,transactional,support,10,no data,MEDIUM,17.62
AI detections,camera health monitoring,informational,support,10,no data,LOW,no data
AI detections,false alarm reduction,informational,support,10,no data,LOW,no data
Guard cost,security guard cost per hour,informational,support,10,no data,LOW,19.34
Industry,warehouse surveillance,commercial,support,10,no data,LOW,no data
Virtual patrolling,unmanned site security,navigational,support,no data,no data,no data,no data
Remote guarding,mobile patrols,informational,skip,49500,no data,LOW,0.8
Remote guarding,mobile patrol,informational,skip,49500,no data,LOW,0.8
Off-topic,security systems,commercial,skip,22200,no data,HIGH,33.27
Off-topic,security companies,commercial,skip,18100,no data,MEDIUM,18.05
Off-topic,security system installation,commercial,skip,12100,no data,LOW,25.98
Off-topic,alarm system,transactional,skip,12100,no data,HIGH,41
Security agency software,securitas security,commercial,skip,5400,no data,LOW,10.99
Remote guarding,mobile security services,commercial,skip,1000,no data,LOW,no data
Video monitoring,remote security camera,transactional,skip,1000,no data,HIGH,5.3
Off-topic,remote security jobs,informational,skip,1000,no data,LOW,2.6
Off-topic,remote monitoring jobs,informational,skip,260,no data,LOW,0.6
Off-topic,virtual security guard jobs,informational,skip,110,no data,LOW,0.89
Remote guarding,mobile guarding,informational,skip,90,no data,LOW,no data
Security agency software,securitas monitoring,navigational,skip,70,no data,MEDIUM,39.6
Security agency software,securitas remote guarding,navigational,skip,20,no data,LOW,39.53
