cluster,keyword,role,search_volume,page_today,note
AI video analytics,ai security camera software,support,40,/ai-features,
AI video analytics,security video analytics,support,40,/ai-features,
AI detections,line crossing detection,support,40,/ai-features/line-intrusion-detection,
AI detections,tailgating detection,support,40,/ai-features/tailgating-detection,
Video monitoring,proactive video monitoring,support,30,(none),
AI detections,camera tampering detection,support,30,/ai-features/camera-tampering-detection,
Security agency software,security guard company software,support,30,/partners/for-security-agencies,
Video monitoring,24/7 video monitoring,support,20,/use-cases/after-hours-monitoring,
Video monitoring,remote site monitoring,support,20,/use-cases/remote-site-monitoring,
AI video analytics,ai surveillance software,support,20,/ai-features,
AI video analytics,cctv analytics,support,20,/ai-features,
AI detections,weapon detection camera,support,20,/ai-features/weapons-detection,
AI detections,intrusion detection camera,support,20,/ai-features/zone-intrusion-detection,
AI detections,alarm verification,support,20,/use-cases/alarm-verification,
Security agency software,guard patrol software,support,20,/virtual-patrolling,
Cloud VMS,nvr alternative,support,10,(none),
Cloud VMS,cloud camera storage,support,10,/platform/video-backup-and-retention,
Cloud VMS,enterprise video management,support,10,/platform/multi-site-management,
Virtual patrolling,virtual patrol,support,10,/virtual-patrolling,Tiny volume; the site already owns it
Virtual patrolling,virtual patrols,support,10,/virtual-patrolling,
Virtual patrolling,remote patrol,support,10,/guides/what-goes-in-a-remote-patrol-proposal,
Remote guarding,remote guarding companies,support,10,/partners/for-security-agencies,
AI detections,ppe detection camera,support,10,/ai-features/ppe-violation-detection,
AI detections,illegal parking detection,support,10,/ai-features/illegal-parking-detection,
AI detections,slip and fall detection,support,10,/ai-features/slip-and-fall-detection,
AI detections,camera health monitoring,support,10,/use-cases/camera-health-monitoring,
AI detections,false alarm reduction,support,10,/guides/how-to-reduce-false-alarms,
Guard cost,security guard cost per hour,support,10,/guides/security-guard-cost-per-hour,
Industry,warehouse surveillance,support,10,/industries/warehouses,
Virtual patrolling,unmanned site security,support,no data,/use-cases/remote-site-monitoring,No volume returned
Remote guarding,mobile patrols,skip,49500,/compare/virtual-patrolling-vs-mobile-patrols,"Volume is jobs and games, not buyers"
Remote guarding,mobile patrol,skip,49500,/compare/virtual-patrolling-vs-mobile-patrols,Same
Off-topic,security systems,skip,22200,(none),Consumer hardware
Off-topic,security companies,skip,18100,(none),Directory intent
Off-topic,security system installation,skip,12100,(none),"Installer-service intent, not software"
Off-topic,alarm system,skip,12100,(none),Consumer hardware
Security agency software,securitas security,skip,5400,(none),Competitor brand
Remote guarding,mobile security services,skip,1000,(none),Service-provider query
Video monitoring,remote security camera,skip,1000,(none),Hardware intent
Off-topic,remote security jobs,skip,1000,(none),Jobs
Off-topic,remote monitoring jobs,skip,260,(none),Jobs
Off-topic,virtual security guard jobs,skip,110,(none),Jobs
Remote guarding,mobile guarding,skip,90,(none),Securitas product name
Security agency software,securitas monitoring,skip,70,(none),Competitor brand
Security agency software,securitas remote guarding,skip,20,(none),Competitor brand
